route,origin,destination,distance_km,distance_train,rail_time_mins,air_time_mins,rail_fare_eur,air_fare_eur,cheap_flight,bus_included,info
London-Paris,London,Paris,342.74,,148,70,94,79,,,
Berlin-Munich,Berlin,Munich,504.5,,268,70,38,96,,,
Rome-Milan,Rome,Milan,477.97,,190,70,40,53,1,,
Madrid-Barcelona,Madrid,Barcelona,504.93,,400,75,25,69,,,
Amsterdam-Brussels,Amsterdam,Munich,174.83,,545,85,63,151,,,
Vienna-Zurich,Vienna,Zurich,592.45,,540,80,53,387,,,
Rome-Catania,Rome,Catania,535.95,,583,80,41,35,1,,
Oslo-Bergen,Oslo,Bergen,303.76,,409,135,110,241,,,
Paris-Nice,Paris,Nice,686.01,,350,95,121,52,1,,
Frankfurt-Hamburg,Frankfurt,Hamburg,393.3,,223,65,29,103,,,
Paris-Barcelona,Paris,Barcelona,830.63,,589,115,184,111,,,
Athens-Bucharest,Athens,Bucharest,745.02,,888,80,67,104,,1,
Belgrade-Warsow,Belgrade,Warsaw,826.04,,915,95,40,98,,,
Rome-Bari,Rome,Bari,374.28,,280,70,25,28,1,,
Lisbon-Porto,Lisbon,Porto,275.33,,160,50,50,44,1,,
Berlin-Copenhagen,Berlin,Copenhagen,354.79,,513,65,72,43,1,,
London-Amsterdam,London,Amsterdam,357.29,,244,80,69,78,,,
Zurich-Milan,Zurich,Milan,217.65,,197,255,41,183,,,no direct flight
Munich-Vienna,Munich,Vienna,355.41,,260,65,25,140,,,
Madrid-Seville,Madrid,Seville,391.49,,115,60,9,31,,,
Frankfurt-Paris,Frankfurt,Paris,477.79,,223,80,63,81,,,
Berlin-Warsaw,Berlin,Warsaw,516.42,,316,70,36,202,,,
Prague-Vienna,Prague,Vienna,252.56,,252,50,15,126,,,
Stockholm-Copenhagen,Stockholm,Copenhagen,522.27,,361,70,88,77,,,
Cologne-London,Cologne,London,497.22,,318,80,124,39,,,
Budapest-Vienna,Budapest,Vienna,214.17,,158,45,20,146,,,
Munich-Rome,Munich,Rome,698.5,,583,100,70,50,1,,
Lisbon-Madrid,Lisbon,Madrid,503.11,,762,75,83,36,1,,
Edinburgh-London,Edinburgh,London,534.11,,267,85,160,78,,,
Krakow-Warsaw,Krakow,Warsaw,253.87,,167,50,8,42,,,
Budapest-Bucharest,Budapest,Bucharest,642.93,,867,105,40,112,,,
Sofia-Istanbul,Sofia,Istanbul,503.77,,740,75,44,69,1,,
Zagreb-Ljubljana,Zagreb,Ljubljana,116.88,,153,,26,,,,
Belgrade-Sarajevo,Belgrade,Sarajevo,194.55,,395,60,24,111,,,
Helsinki-Tallinn,Helsinki,Tallinn,81.51,,120,30,44,77,,,
Stockholm-Oslo,Stockholm,Oslo,416.73,,360,65,45,62,1,,
Riga-Vilnius,Riga,Vilnius,261.46,,246,50,19,50,1,,
Riga-Tallinn,Riga,Tallinn,280.18,,370,50,23,50,1,,
Madrid-Bilbao,Madrid,Bilbao,322.31,,287,60,34,54,1,,
Zurich-Geneva,Zurich,Geneva,233.87,,203,50,63,151,,,
Thessaloniki-Athens,Thessaloniki,Athens,303.48,,308,55,29,50,1,,
Paris-Warsaw,Paris,Warsaw,1366.47,,944,140,310,172,,,
Vienna-Berlin,Vienna,Berlin,523.58,,535,70,59,241,,,
Zurich-Barcelona,Zurich,Barcelona,835.12,,870,110,355,149,1,,
Rome-Paris,Rome,Paris,1106.27,,600,130,150,124,,,
Lisbon-Berlin,Lisbon,Berlin,2313.77,,2400,205,143,75,1,,
Munich-Barcelona,Munich,Barcelona,1054.7,,1350,130,75,114,,,
