route,origin,destination,distance_km,rail_time_mins,air_time_mins,rail_fare_eur,air_fare_eur,cheap_flight,bus_included,info,air_co2_kg,rail_co2_kg,rail_co2_kg_efficient,air_time_hrs,rail_time_hrs,distance_category,distance_label,time_gap,price_gap
Helsinki-Tallinn,Helsinki,Tallinn,81.51,120,30.0,44,77.0,0.0,,,13.938210000000002,2.8528500000000006,0.40755,0.5,2.0,0-250,1,1.5,-33.0
Zagreb-Ljubljana,Zagreb,Ljubljana,116.88,153,,26,,0.0,,,19.98648,4.0908,0.5844,,2.55,0-250,1,,
Amsterdam-Brussels,Amsterdam,Munich,174.83,545,85.0,63,151.0,0.0,,,29.895930000000003,6.1190500000000005,0.8741500000000001,1.4166666666666667,9.083333333333334,0-250,1,7.666666666666667,-88.0
Belgrade-Sarajevo,Belgrade,Sarajevo,194.55,395,60.0,24,111.0,0.0,,,33.26805,6.80925,0.97275,1.0,6.583333333333333,0-250,1,5.583333333333333,-87.0
Budapest-Vienna,Budapest,Vienna,214.17,158,45.0,20,146.0,0.0,,,36.62307,7.49595,1.0708499999999999,0.75,2.6333333333333333,0-250,1,1.8833333333333333,-126.0
Zurich-Milan,Zurich,Milan,217.65,197,255.0,41,183.0,0.0,,no direct flight,37.21815,7.61775,1.08825,4.25,3.283333333333333,0-250,1,-0.9666666666666668,-142.0
Zurich-Geneva,Zurich,Geneva,233.87,203,50.0,63,151.0,0.0,,,39.99177,8.18545,1.16935,0.8333333333333334,3.3833333333333333,0-250,1,2.55,-88.0
Prague-Vienna,Prague,Vienna,252.56,252,50.0,15,126.0,0.0,,,43.187760000000004,8.8396,1.2628,0.8333333333333334,4.2,250-500,2,3.3666666666666667,-111.0
Krakow-Warsaw,Krakow,Warsaw,253.87,167,50.0,8,42.0,0.0,,,43.411770000000004,8.88545,1.26935,0.8333333333333334,2.783333333333333,250-500,2,1.9499999999999997,-34.0
Riga-Vilnius,Riga,Vilnius,261.46,246,50.0,19,50.0,1.0,,,44.70966,9.151099999999998,1.3073,0.8333333333333334,4.1,250-500,2,3.266666666666666,-31.0
Lisbon-Porto,Lisbon,Porto,275.33,160,50.0,50,44.0,1.0,,,47.08143,9.63655,1.37665,0.8333333333333334,2.6666666666666665,250-500,2,1.833333333333333,6.0
Riga-Tallinn,Riga,Tallinn,280.18,370,50.0,23,50.0,1.0,,,47.910779999999995,9.8063,1.4009,0.8333333333333334,6.166666666666667,250-500,2,5.333333333333334,-27.0
